PERMNO,date,TICKER,RET
84398,20180702,SPY,0.002138
84398,20180703,SPY,-0.003531
84398,20180705,SPY,0.008158
84398,20180706,SPY,0.008458
84398,20180709,SPY,0.009004
84398,20180710,SPY,0.003598
84398,20180711,SPY,-0.007314
84398,20180712,SPY,0.009066
84398,20180713,SPY,0.000787
84398,20180716,SPY,-0.000894
84398,20180717,SPY,0.004045
84398,20180718,SPY,0.002104
84398,20180719,SPY,-0.003771
84398,20180720,SPY,-0.001143
84398,20180723,SPY,0.001859
84398,20180724,SPY,0.005032
84398,20180725,SPY,0.008523
84398,20180726,SPY,-0.002359
84398,20180727,SPY,-0.006776
84398,20180730,SPY,-0.005224
84398,20180731,SPY,0.004929
84398,20180801,SPY,-0.001671
84398,20180802,SPY,0.005448
84398,20180803,SPY,0.004285
84398,20180806,SPY,0.003667
84398,20180807,SPY,0.003302
84398,20180808,SPY,-0.000420
84398,20180809,SPY,-0.001366
84398,20180810,SPY,-0.006700
84398,20180813,SPY,-0.003743
84398,20180814,SPY,0.006381
84398,20180815,SPY,-0.007467
84398,20180816,SPY,0.008091
84398,20180817,SPY,0.003520
84398,20180820,SPY,0.002140
84398,20180821,SPY,0.002345
84398,20180822,SPY,-0.000594
84398,20180823,SPY,-0.001328
84398,20180824,SPY,0.006018
84398,20180827,SPY,0.007895
84398,20180828,SPY,0.000483
84398,20180829,SPY,0.005381
84398,20180830,SPY,-0.004048
84398,20180831,SPY,0.000034
84398,20180904,SPY,-0.001722
84398,20180905,SPY,-0.002691
84398,20180906,SPY,-0.003010
84398,20180907,SPY,-0.001943
84398,20180910,SPY,0.001739
84398,20180911,SPY,0.003297
84398,20180912,SPY,0.000242
84398,20180913,SPY,0.005914
84398,20180914,SPY,0.000172
84398,20180917,SPY,-0.005294
84398,20180918,SPY,0.005426
84398,20180919,SPY,0.001066
84398,20180920,SPY,0.008104
84398,20180921,SPY,-0.000911
84398,20180924,SPY,-0.003322
84398,20180925,SPY,-0.000928
84398,20180926,SPY,-0.002992
84398,20180927,SPY,0.002794
84398,20180928,SPY,0.000103
84398,20181001,SPY,0.003474
84398,20181002,SPY,-0.000583
84398,20181003,SPY,0.000549
84398,20181004,SPY,-0.007816
84398,20181005,SPY,-0.005597
84398,20181008,SPY,0.000000
84398,20181009,SPY,-0.001459
84398,20181010,SPY,-0.031663
84398,20181011,SPY,-0.022026
84398,20181012,SPY,0.013888
84398,20181015,SPY,-0.005617
84398,20181016,SPY,0.021866
84398,20181017,SPY,0.000178
84398,20181018,SPY,-0.014441
84398,20181019,SPY,-0.000543
84398,20181022,SPY,-0.004489
84398,20181023,SPY,-0.005091
84398,20181024,SPY,-0.030299
84398,20181025,SPY,0.017941
84398,20181026,SPY,-0.017587
84398,20181029,SPY,-0.005540
84398,20181030,SPY,0.014818
84398,20181031,SPY,0.010681
84398,20181101,SPY,0.010642
84398,20181102,SPY,-0.005923
84398,20181105,SPY,0.005517
84398,20181106,SPY,0.006328
84398,20181107,SPY,0.021409
84398,20181108,SPY,-0.001815
84398,20181109,SPY,-0.009768
84398,20181112,SPY,-0.018685
84398,20181113,SPY,-0.001871
84398,20181114,SPY,-0.006837
84398,20181115,SPY,0.010437
84398,20181116,SPY,0.002601
84398,20181119,SPY,-0.016914
84398,20181120,SPY,-0.018506
